"","M1","M2","M3","M4","M5","M6"
"ASV1",14648,8266,21238,19851,19947,21734
"ASV2",7422,3369,10368,9529,9254,10111
"ASV3",39,16,6461,6744,8907,9262
"ASV4",82,36,2059,4117,3570,2393
"ASV6",0,0,357,727,4733,3845
"ASV7",661,263,2665,2770,2890,1029
"ASV8",101,527,4141,3785,508,1398
"ASV9",15,20,2925,2034,990,3051
"ASV10",81,359,3275,2865,398,1070
"ASV11",4876,2000,346,357,221,325
"ASV12",4032,3098,137,245,170,72
"ASV13",51,0,921,1988,1434,929
"ASV14",5030,1562,0,0,0,0
"ASV15",3019,2912,116,126,149,88
"ASV16",409,11,434,317,1119,1548
"ASV17",184,1173,645,561,909,836
"ASV18",0,0,578,471,973,1636
"ASV19",53,25,975,710,921,762
"ASV20",0,6173,0,0,0,0
"ASV21",0,4729,0,0,0,0
"ASV23",1238,2378,18,23,8,0
"ASV24",5,0,767,680,333,441
"ASV25",7,4196,4,6,0,0
"ASV26",1761,917,65,87,43,15
"ASV27",0,0,467,383,891,212
"ASV28",0,0,674,552,474,257
"ASV29",0,0,631,567,337,277
"ASV30",0,0,598,376,308,308
"ASV31",13,33,412,484,348,248
"ASV32",1550,333,0,0,0,0
"ASV33",287,1826,63,63,74,11
"ASV34",0,0,486,311,310,219
"ASV35",0,0,242,212,412,410
"ASV36",78,617,85,94,313,329
"ASV37",443,667,70,119,240,41
"ASV38",0,0,80,146,326,502
"ASV39",958,514,0,0,0,0
"ASV40",353,0,124,199,209,208
"ASV41",1046,306,0,0,0,0
"ASV42",467,1206,0,0,0,0
"ASV43",243,66,190,208,198,201
"ASV44",204,272,165,129,187,195
"ASV45",0,0,111,135,399,297
"ASV46",0,1804,0,0,0,0
"ASV47",10,12,327,365,129,74
"ASV48",5,0,100,292,325,145
"ASV49",0,0,153,152,217,331
"ASV50",274,134,151,187,106,66
"ASV51",177,386,131,138,67,48
"ASV52",0,0,145,193,225,147
"ASV53",0,0,139,119,297,181
"ASV54",536,310,5,11,0,6
"ASV55",225,837,0,4,0,0
"ASV56",719,73,0,0,0,0
"ASV57",21,27,237,214,86,90
"ASV58",681,0,0,0,0,0
"ASV59",0,0,52,59,179,236
"ASV60",531,232,8,0,0,0
"ASV61",402,9,69,87,26,26
"ASV62",664,0,0,0,0,0
"ASV63",38,995,0,0,0,0
"ASV64",0,0,131,194,146,70
"ASV65",155,427,59,50,25,16
"ASV66",238,538,20,12,5,0
"ASV67",279,278,51,49,31,17
"ASV68",0,0,166,148,98,79
"ASV69",0,0,98,96,113,186
"ASV70",8,0,186,132,131,47
"ASV71",428,230,0,0,0,0
"ASV72",0,0,99,98,152,133
"ASV73",47,839,0,0,0,0
"ASV74",431,0,35,25,18,12
"ASV75",7,15,108,87,119,105
"ASV76",60,104,125,117,66,25
"ASV77",42,52,76,123,98,58
"ASV78",377,0,39,23,18,10
"ASV79",478,0,0,0,0,0
"ASV80",0,12,45,71,112,151
"ASV81",0,0,145,108,67,86
"ASV82",186,190,54,44,17,10
"ASV83",320,223,0,0,0,0
"ASV84",438,0,0,0,0,0
"ASV85",159,329,22,35,9,0
"ASV86",194,161,50,62,14,0
"ASV87",137,204,47,61,26,13
"ASV88",0,0,121,123,68,41
"ASV89",276,171,0,0,0,0
"ASV91",356,0,0,0,0,0
