"","M1","M2","M3","M4","M5","M6"
"ASV1",24753,8291,41076,35882,40223,47962
"ASV2",12327,3378,20145,17393,18762,22144
"ASV3",75,16,12369,12288,18080,20480
"ASV4",139,36,3933,7401,7293,5246
"ASV6",0,0,697,1275,9595,8300
"ASV7",1094,265,5106,5132,5840,2250
"ASV8",174,533,7914,6902,1068,2990
"ASV9",21,20,5655,3677,2007,6860
"ASV10",140,359,6260,5227,817,2465
"ASV11",8107,2003,649,642,450,708
"ASV12",6791,3110,267,441,354,150
"ASV13",92,0,1773,3512,3006,2048
"ASV14",8377,1570,0,0,0,0
"ASV15",4972,2922,254,232,299,170
"ASV16",673,11,802,593,2319,3325
"ASV17",309,1175,1275,1030,1858,1814
"ASV18",0,0,1113,819,1898,3561
"ASV19",92,25,1856,1280,1816,1662
"ASV20",0,6192,0,0,0,0
"ASV21",0,4745,0,0,0,0
"ASV23",2065,2388,40,44,14,0
"ASV24",6,0,1452,1222,664,944
"ASV25",9,4210,11,16,0,0
"ASV26",2888,919,117,155,86,32
"ASV27",0,0,875,707,1808,431
"ASV28",0,0,1297,982,938,556
"ASV29",0,0,1195,1008,693,640
"ASV30",0,0,1135,702,606,633
"ASV31",16,33,772,875,721,554
"ASV32",2524,334,0,0,0,0
"ASV33",504,1831,108,127,147,17
"ASV34",0,0,945,540,595,469
"ASV35",0,0,465,388,826,776
"ASV36",111,619,188,146,653,733
"ASV37",749,669,155,222,472,87
"ASV38",0,0,148,290,659,1056
"ASV39",1615,517,0,0,0,0
"ASV40",614,0,258,375,387,480
"ASV41",1738,307,5,0,0,0
"ASV42",820,1210,0,0,0,0
"ASV43",381,69,376,375,370,420
"ASV44",361,273,307,225,391,422
"ASV45",0,0,211,250,824,641
"ASV46",0,1814,0,0,0,0
"ASV47",15,12,627,656,291,151
"ASV48",8,0,184,555,651,338
"ASV49",0,0,279,278,413,719
"ASV50",469,135,287,331,223,146
"ASV51",326,389,268,239,154,98
"ASV52",0,0,259,366,471,344
"ASV53",0,0,243,212,590,375
"ASV54",925,312,10,20,0,8
"ASV55",412,843,0,17,0,0
"ASV56",1198,73,0,0,0,0
"ASV57",32,27,465,361,187,166
"ASV58",1160,0,0,0,0,0
"ASV59",0,0,89,138,384,534
"ASV60",859,232,15,0,0,0
"ASV61",671,9,132,138,63,54
"ASV62",1065,0,0,0,0,0
"ASV63",66,998,0,0,0,0
"ASV64",0,0,252,324,309,170
"ASV65",274,429,116,100,56,34
"ASV66",404,539,27,23,13,0
"ASV67",467,279,83,91,53,32
"ASV68",0,0,326,283,191,202
"ASV69",0,0,213,159,220,402
"ASV70",12,0,351,234,249,124
"ASV71",724,231,0,0,0,0
"ASV72",0,0,190,171,304,282
"ASV73",104,840,0,0,0,0
"ASV74",738,0,73,61,36,29
"ASV75",13,15,174,162,231,264
"ASV76",102,104,235,203,143,57
"ASV77",70,52,143,227,211,126
"ASV78",642,0,73,45,38,30
"ASV79",807,0,0,0,0,0
"ASV80",0,12,105,118,223,328
"ASV81",0,0,258,196,131,182
"ASV82",329,190,93,85,31,20
"ASV83",523,223,0,0,0,0
"ASV84",734,0,0,0,0,0
"ASV85",276,330,46,55,16,0
"ASV86",322,163,97,109,27,0
"ASV87",211,204,85,113,54,27
"ASV88",0,0,230,226,139,91
"ASV89",466,171,0,0,0,0
"ASV91",619,0,0,0,0,0
"ASV92",3,0,117,159,270,69
"ASV93",277,340,0,0,0,0
"ASV95",0,610,0,0,0,0
"ASV96",0,0,79,70,336,122
"ASV97",230,291,26,21,34,0
"ASV98",546,54,0,0,0,0
"ASV99",0,0,58,113,229,200
"ASV101",179,406,0,0,0,0
"ASV103",322,245,0,0,0,0
"ASV104",0,19,110,111,142,182
"ASV105",213,339,0,6,0,0
"ASV106",0,0,139,153,149,109
"ASV107",516,18,0,0,13,0
"ASV108",446,101,0,0,0,0
"ASV109",115,428,0,0,0,0
"ASV110",495,37,0,0,0,0
"ASV111",72,159,72,117,69,34
"ASV113",0,511,0,0,0,0
"ASV114",383,60,10,18,23,0
"ASV115",131,164,120,75,0,0
"ASV117",441,41,0,0,0,0
"ASV118",15,24,125,197,70,51
"ASV119",332,102,13,20,0,0
"ASV120",454,0,0,0,0,0
"ASV122",363,73,8,0,0,0
"ASV123",7,5,162,150,65,51
"ASV124",217,118,26,25,25,18
"ASV126",0,0,34,35,147,191
"ASV127",13,0,33,24,62,274
"ASV129",157,238,0,0,0,0
"ASV130",0,0,71,97,168,58
"ASV131",78,138,45,34,53,44
"ASV132",150,241,0,0,0,0
"ASV133",0,0,100,101,74,115
"ASV134",123,0,40,94,91,36
"ASV135",121,138,39,33,26,12
"ASV136",277,79,9,0,0,0
"ASV137",0,341,11,0,0,12
"ASV138",308,53,0,0,0,0
"ASV139",68,282,0,0,0,0
"ASV140",0,0,100,125,69,48
"ASV141",231,92,11,0,0,0
"ASV142",213,121,0,0,0,0
"ASV143",0,0,119,102,63,48
"ASV144",0,0,78,117,76,57
"ASV145",0,0,110,114,53,45
"ASV146",54,87,70,36,47,20
"ASV147",0,0,40,79,118,76
"ASV148",312,0,0,0,0,0
"ASV149",34,89,61,66,33,29
"ASV150",163,145,0,0,0,0
"ASV151",0,0,123,181,0,0
"ASV152",0,0,40,28,141,91
"ASV153",0,0,43,51,147,58
"ASV154",297,0,0,0,0,0
"ASV155",0,0,29,54,145,69
"ASV157",29,40,51,64,71,25
"ASV158",190,88,0,0,0,0
"ASV159",180,33,22,20,17,5
"ASV160",0,0,44,36,130,67
"ASV161",126,65,35,29,19,0
"ASV162",84,169,19,0,0,0
"ASV163",264,0,0,0,0,0
"ASV164",33,47,48,74,40,22
"ASV165",116,145,0,0,0,0
"ASV166",0,0,31,17,65,147
"ASV167",169,46,7,14,22,0
"ASV168",100,157,0,0,0,0
"ASV169",0,0,0,0,156,101
"ASV170",0,12,52,50,70,72
"ASV171",107,62,33,27,14,12
"ASV172",127,64,26,25,10,0
"ASV173",0,0,50,51,95,51
"ASV174",12,0,58,95,58,22
"ASV175",0,0,68,82,60,29
"ASV176",0,0,77,37,65,51
"ASV177",85,142,0,0,0,0
"ASV178",32,71,60,63,0,0
"ASV179",56,90,33,44,0,0
"ASV180",186,34,0,0,0,0
"ASV181",55,165,0,0,0,0
"ASV182",3,0,74,64,24,55
"ASV183",0,0,56,64,50,46
"ASV184",64,49,40,35,26,0
"ASV185",146,67,0,0,0,0
"ASV186",0,213,0,0,0,0
"ASV187",67,145,0,0,0,0
"ASV188",154,56,0,0,0,0
"ASV189",0,0,48,46,59,53
"ASV190",44,159,0,0,0,0
"ASV191",202,0,0,0,0,0
"ASV192",199,0,0,0,0,0
"ASV193",0,64,37,52,33,11
"ASV194",109,64,23,0,0,0
"ASV195",0,0,27,37,61,69
"ASV196",45,76,22,26,13,9
"ASV197",0,0,76,81,22,10
"ASV198",0,0,0,84,77,28
"ASV199",137,37,0,14,0,0
"ASV200",99,88,0,0,0,0
"ASV201",0,0,33,44,39,70
"ASV202",0,0,15,23,27,120
"ASV203",0,0,40,63,81,0
"ASV204",48,135,0,0,0,0
"ASV205",154,23,0,0,0,0
"ASV206",0,0,42,39,58,38
"ASV207",0,0,48,50,44,34
"ASV208",175,0,0,0,0,0
"ASV209",0,0,17,22,44,89
"ASV210",171,0,0,0,0,0
"ASV211",61,0,31,38,39,0
"ASV212",54,0,19,39,56,0
"ASV213",0,0,33,35,45,55
"ASV214",0,0,13,43,51,60
"ASV215",47,29,24,39,20,6
"ASV216",164,0,0,0,0,0
"ASV217",0,0,24,25,52,61
"ASV218",54,85,16,0,0,0
"ASV219",0,0,17,41,36,57
"ASV220",33,46,34,35,0,0
"ASV221",0,0,48,48,51,0
"ASV222",146,0,0,0,0,0
"ASV223",146,0,0,0,0,0
"ASV224",146,0,0,0,0,0
"ASV225",59,86,0,0,0,0
"ASV226",140,0,0,0,0,0
"ASV227",37,102,0,0,0,0
"ASV228",137,0,0,0,0,0
"ASV229",51,14,24,28,20,0
"ASV230",25,108,0,0,0,0
"ASV231",0,0,45,39,27,22
"ASV232",52,62,9,8,0,0
"ASV235",116,9,0,0,0,0
"ASV236",0,124,0,0,0,0
"ASV238",0,15,32,29,31,16
"ASV239",0,0,14,0,44,62
"ASV240",0,0,13,17,57,33
"ASV241",0,0,0,5,84,31
"ASV244",0,0,80,35,0,0
"ASV245",73,40,0,0,0,0
"ASV246",81,0,9,0,9,13
"ASV247",68,41,0,0,0,0
"ASV248",81,27,0,0,0,0
"ASV249",17,0,31,31,28,0
"ASV250",64,31,0,11,0,0
"ASV251",0,0,47,31,12,14
"ASV252",0,0,28,37,28,11
"ASV253",0,0,23,49,32,0
"ASV255",63,30,5,0,5,0
"ASV256",0,0,26,41,36,0
"ASV257",0,0,25,23,34,20
"ASV258",43,15,12,14,8,9
"ASV259",32,29,7,0,20,13
"ASV260",100,0,0,0,0,0
"ASV262",0,0,24,9,42,25
"ASV263",0,0,34,24,24,17
"ASV264",98,0,0,0,0,0
"ASV265",94,0,0,0,0,3
"ASV266",26,67,0,4,0,0
"ASV267",0,0,19,53,0,25
"ASV268",18,49,13,8,7,0
"ASV269",0,0,0,0,95,0
"ASV270",0,0,0,0,94,0
"ASV271",54,33,6,0,0,0
"ASV272",0,0,14,11,45,23
"ASV273",0,0,0,0,60,33
"ASV274",31,36,19,6,0,0
"ASV275",91,0,0,0,0,0
"ASV277",0,89,0,0,0,0
"ASV278",87,0,0,0,0,0
"ASV280",0,0,29,40,17,0
"ASV281",85,0,0,0,0,0
"ASV282",45,40,0,0,0,0
"ASV283",25,60,0,0,0,0
"ASV284",84,0,0,0,0,0
"ASV285",28,0,37,0,19,0
"ASV286",17,52,11,0,4,0
"ASV287",10,11,29,15,19,0
"ASV288",0,0,19,20,32,13
"ASV289",83,0,0,0,0,0
"ASV290",22,33,8,11,9,0
"ASV291",3,60,7,7,0,6
"ASV292",0,0,0,0,0,83
"ASV293",0,0,0,0,0,83
"ASV294",0,0,17,23,27,13
"ASV295",66,13,0,0,0,0
"ASV296",0,0,30,27,22,0
"ASV297",0,0,28,20,31,0
"ASV298",78,0,0,0,0,0
"ASV299",7,0,19,21,15,16
"ASV300",0,77,0,0,0,0
"ASV301",0,23,15,27,0,12
"ASV302",0,0,16,21,18,22
"ASV303",51,25,0,0,0,0
"ASV304",33,18,0,25,0,0
"ASV305",0,0,14,25,20,17
"ASV306",29,46,0,0,0,0
"ASV307",28,47,0,0,0,0
"ASV308",0,75,0,0,0,0
"ASV309",0,0,24,21,30,0
"ASV310",21,0,24,29,0,0
"ASV311",0,0,32,42,0,0
"ASV313",0,0,22,18,14,20
"ASV314",73,0,0,0,0,0
"ASV315",0,0,19,16,16,22
"ASV316",0,0,0,5,31,37
"ASV317",46,26,0,0,0,0
"ASV318",11,4,15,10,15,17
"ASV320",0,0,0,31,27,14
"ASV321",0,0,0,26,26,20
"ASV322",31,19,0,21,0,0
"ASV323",70,0,0,0,0,0
"ASV324",0,0,30,23,17,0
"ASV325",0,0,9,14,20,26
"ASV326",68,0,0,0,0,0
"ASV327",9,59,0,0,0,0
"ASV329",0,0,6,0,53,9
"ASV330",9,35,0,0,23,0
"ASV331",0,57,10,0,0,0
"ASV332",12,53,0,0,0,0
"ASV333",64,0,0,0,0,0
"ASV334",39,25,0,0,0,0
"ASV335",0,0,45,19,0,0
"ASV336",0,0,0,0,28,36
"ASV337",14,0,9,21,12,7
"ASV338",0,63,0,0,0,0
"ASV339",0,0,0,17,24,22
"ASV340",62,0,0,0,0,0
"ASV341",62,0,0,0,0,0
"ASV342",24,21,0,16,0,0
"ASV343",60,0,0,0,0,0
"ASV344",0,33,0,27,0,0
"ASV346",59,0,0,0,0,0
"ASV347",59,0,0,0,0,0
"ASV348",15,31,9,0,0,4
"ASV349",0,0,18,22,19,0
"ASV350",24,12,12,10,0,0
"ASV351",19,39,0,0,0,0
"ASV352",0,0,18,0,0,38
"ASV353",0,0,17,8,16,15
"ASV354",0,0,0,0,46,10
"ASV355",31,24,0,0,0,0
"ASV356",0,0,9,6,31,9
"ASV357",0,22,22,0,10,0
"ASV358",0,0,20,26,0,8
"ASV359",12,41,0,0,0,0
"ASV360",0,53,0,0,0,0
"ASV363",52,0,0,0,0,0
"ASV364",20,32,0,0,0,0
"ASV365",0,0,0,13,11,28
"ASV366",32,0,0,12,0,7
"ASV367",20,31,0,0,0,0
"ASV368",0,51,0,0,0,0
"ASV369",0,0,15,13,23,0
"ASV370",0,0,28,10,7,5
"ASV371",49,0,0,0,0,0
"ASV372",8,7,4,17,8,5
"ASV373",0,49,0,0,0,0
"ASV374",0,0,8,15,17,9
"ASV375",41,7,0,0,0,0
"ASV376",0,48,0,0,0,0
"ASV377",0,0,28,0,20,0
"ASV378",0,0,26,11,10,0
"ASV379",0,0,5,9,24,9
"ASV380",0,0,0,0,47,0
"ASV381",0,0,0,0,0,47
"ASV382",0,0,0,0,9,36
"ASV383",0,0,25,19,0,0
"ASV384",43,0,0,0,0,0
"ASV385",0,43,0,0,0,0
"ASV386",0,0,0,29,14,0
"ASV387",42,0,0,0,0,0
"ASV388",0,0,0,0,42,0
"ASV389",30,11,0,0,0,0
"ASV390",0,18,12,11,0,0
"ASV391",0,0,13,12,9,7
"ASV392",0,0,0,0,30,11
"ASV393",40,0,0,0,0,0
"ASV394",40,0,0,0,0,0
"ASV395",40,0,0,0,0,0
"ASV396",32,0,0,0,0,8
"ASV397",15,25,0,0,0,0
"ASV399",0,0,0,0,18,22
"ASV400",0,39,0,0,0,0
"ASV401",0,39,0,0,0,0
"ASV403",0,0,0,39,0,0
"ASV404",25,13,0,0,0,0
"ASV405",0,38,0,0,0,0
"ASV407",37,0,0,0,0,0
"ASV408",25,12,0,0,0,0
"ASV409",18,0,19,0,0,0
"ASV410",0,37,0,0,0,0
"ASV411",0,0,15,0,22,0
"ASV412",36,0,0,0,0,0
"ASV413",10,26,0,0,0,0
"ASV415",5,9,13,9,0,0
"ASV416",0,36,0,0,0,0
"ASV417",0,0,10,10,10,6
"ASV418",35,0,0,0,0,0
"ASV419",0,35,0,0,0,0
"ASV420",0,35,0,0,0,0
"ASV421",0,0,13,11,5,6
"ASV423",0,0,12,23,0,0
"ASV424",34,0,0,0,0,0
"ASV425",15,12,7,0,0,0
"ASV426",0,34,0,0,0,0
"ASV427",0,34,0,0,0,0
"ASV428",0,0,10,15,9,0
"ASV429",33,0,0,0,0,0
"ASV430",32,0,0,0,0,0
"ASV431",16,16,0,0,0,0
"ASV432",0,0,15,17,0,0
"ASV433",31,0,0,0,0,0
"ASV434",15,16,0,0,0,0
"ASV435",0,31,0,0,0,0
"ASV437",0,30,0,0,0,0
"ASV438",0,0,4,6,9,11
