ID,Kingdom,Phylum,Class,Order,Family,Genus,Figure 3b,Figure 4 & 5,Day 0,Day 24,Day 181,Day 217,Day 356,Day 372,TOTAL
ASV11,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Petrimonas,ASV <2% abundance,None,0.070666667,0.028985507,0.005014493,0.005173913,0.003202899,0.004710145,0.019625604
ASV12,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Proteiniclasticum,ASV <2% abundance,None,0.058434783,0.044898551,0.001985507,0.003550725,0.002463768,0.001043478,0.018729469
ASV14,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Family_XI_ge,ASV <2% abundance,None,0.072898551,0.022637681,0,0,0,0,0.015922705
ASV15,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,uncultured,ASV <2% abundance,None,0.043753623,0.042202899,0.001681159,0.001826087,0.00215942,0.001275362,0.015483092
ASV20,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,ASV <2% abundance,None,0,0.089463768,0,0,0,0,0.014910628
ASV21,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,ASV <2% abundance,None,0,0.068536232,0,0,0,0,0.011422705
ASV17,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,3M1PL1-52_termite_group,3M1PL1-52_termite_group_ge,ASV <2% abundance,None,0.002666667,0.017,0.009347826,0.008130435,0.013173913,0.012115942,0.010405797
ASV25,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,uncultured,ASV <2% abundance,None,0.000101449,0.060811594,5.80E-05,8.70E-05,0,0,0.010176329
ASV16,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,ASV <2% abundance,None,0.005927536,0.00015942,0.006289855,0.004594203,0.016217391,0.022434783,0.009270531
ASV23,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_4,Caminicella,ASV <2% abundance,None,0.017942029,0.034463768,0.00026087,0.000333333,0.000115942,0,0.008852657
